row,FWHM
25,63.50210457
26,63.74149383
27,70.28606939
28,70.9640054
29,74.39815866
30,76.08017007
31,76.48752321
32,70.51281677
33,64.96873804
34,61.57292723
35,68.44240287
36,70.78648829
37,66.92811702
38,63.80146715
39,72.86288794
40,69.96745122
41,71.64012561
42,74.6249282
43,79.40275977
44,76.55016209
45,81.11700909
46,78.68327095
47,72.90089424
48,72.879596
49,80.0993034
50,71.20172684
51,74.2551616
52,73.0719559
53,75.4329951
54,66.89828588
55,70.66698227
56,77.82797736
57,83.48145163
58,76.17082155
59,74.5129676
60,79.1352712
61,74.78143327
62,79.82594565
63,80.5293211
64,75.66089348
65,77.62737493
66,72.08900836
67,72.84947629
68,86.59271651
69,78.67310992
70,81.68454568
71,83.15592043
72,78.54780246
73,82.73636484
74,76.98605673
75,83.68589686
76,82.10267613
77,77.42140848
78,82.96111356
79,74.87586057
80,83.7004195
81,80.89027562
82,80.02218237
83,79.12801448
84,72.10139973
85,77.18938356
86,79.0996655
87,80.49712149
88,89.60401248
89,81.14946338
90,79.55283292
91,86.17909991
92,86.11693686
93,83.37920857
94,73.54671002
95,77.50746203
96,78.20083288
97,81.36262857
98,83.87882301
99,75.81975981
100,73.20937706
101,72.10393059
102,72.77563574
103,74.19247956
104,84.75225069
105,88.30107458
106,81.96884339
107,89.10668577
108,93.40986995
109,81.17129499
110,88.79041534
111,86.9495427
112,87.06160691
113,84.3774612
114,85.32558381
115,91.57747744
116,82.32910934
117,79.50983151
118,76.80404024
119,79.39426571
120,83.30497429
121,82.54651142
122,85.23795079
123,73.60453388
124,75.28732879
125,85.25382377
126,80.39956834
127,69.29531221
128,68.87356604
129,72.45762356
130,72.00994663
131,79.13563296
132,74.53722007
133,74.05148132
134,69.25041658
135,70.93609632
136,73.52745763
137,74.48600665
138,78.58822867
139,74.11225501
140,76.03292994
141,73.49994817
142,75.8060999
143,72.42582618
144,83.85683817
145,73.93807053
146,72.2369078
147,68.91955911
148,66.61496517
149,74.81573159
150,70.129413
151,62.34577268
152,68.55926526
153,78.65524544
154,75.47240843
155,80.94121526
156,80.71588405
157,84.64386901
158,80.93293193
159,84.93501114
160,80.41780374
161,82.2660801
162,87.54230578
163,80.61482729
164,78.60317392
165,76.24496129
166,76.49825208
167,82.02783439
168,85.00634268
169,84.03804287
170,82.27360858
171,80.50190614
172,81.82467584
173,86.42525735
174,89.01275563
175,81.97030932
176,75.27854006
177,76.85137586
178,77.58968943
179,82.84936908
180,85.4776286
181,77.78502713
182,85.16284679
183,84.46684143
184,84.32266724
185,75.95862135
186,80.29437136
187,88.94452383
188,80.44763484
189,77.96572267
190,83.50626711
191,83.55913211
192,79.02726325
193,73.60183853
194,78.74808953
195,82.16859951
196,86.17669201
197,72.54480862
198,71.86266977
199,69.23501947
200,69.38417937
201,72.19348723
202,75.57260158
203,76.6956407
204,77.65360926
205,79.42766578
206,72.95677989
207,71.70149128
208,77.06274425
209,86.1626544
210,80.97739058
211,71.13622489
212,73.93338292
213,70.21073394
214,85.48679747
215,80.99106206
216,85.50464385
217,74.52376613
218,81.68805908
219,87.83482149
220,71.28215884
221,77.71672577
222,74.69777405
223,78.27507181
224,68.34710523
225,66.12164006
226,71.61915191
227,80.97045136
228,71.18002448
229,72.23712427
230,72.33434386
230,87.61640705
231,91.08927976
232,77.26867643
233,73.86432276
234,83.23035393
235,80.95143382
236,86.00278423
237,91.23199994
238,82.55279153
239,93.99721514
240,81.6491724
241,74.02821963
242,87.82388527
243,75.51457869
244,76.26508412
245,76.65448052
246,86.8118024
247,80.360634
248,87.21054862
249,82.85864625
250,87.53526261
251,77.24153185
252,73.41246108
253,71.04635924
254,80.47655496
255,91.17090663
256,83.53324114
257,72.81732374
258,80.55653127
259,83.61476206
260,85.17446531
261,84.73302576
262,74.09438307
263,71.22032938
264,76.49327429
265,72.81844425
266,78.35606156
267,84.45790074
268,83.43256336
269,67.60924143
270,71.8790313
271,73.74662601
272,78.32425472
273,79.3715267
274,81.61007357
275,78.35179725
276,84.40209843
277,72.73838914
278,84.71300065
279,84.16546387
280,82.891683
281,84.46999585
282,77.42771675
283,76.26773534
284,69.48047868
285,73.10962158
286,70.56660083
287,77.61178015
288,74.55663796
289,69.71313043
290,72.00678512
291,71.01641115
292,66.31053457
293,67.78926068
294,71.89241416
295,85.57007921
296,74.56982939
297,70.29735111
298,70.28065249
299,79.65802445
300,76.35663689
301,72.03868259
302,83.24551097
303,79.58278475
304,74.81209263
305,74.18261324
306,72.07855211
307,75.07813701
308,84.29996608
309,93.53434881
310,83.5965766
311,87.00420754
312,84.89580718
313,75.18720708
314,91.82336924
315,80.62561639
316,87.70852547
317,85.36621744
318,89.68747863
319,104.3492623
320,92.04593585
321,96.89719874
322,88.86319546
323,84.81141682
324,88.72363427
325,79.55871051
326,84.29195061
327,77.49001328
328,92.57060794
329,74.8264343
330,78.26204542
331,82.05766888
332,72.41141778
333,75.81708883
334,74.41272955
335,76.85791674
336,80.3974117
337,76.36823974
338,81.05931653
339,70.42615936
340,76.60908641
341,83.31937297
342,81.24501322
343,82.271649
344,81.39198206
345,83.26168336
346,81.57491888
347,76.52182236
348,73.24244958
349,82.98504392
350,75.44504116
351,73.64958386
352,80.5606664
353,82.57676671
354,67.05547614
355,68.69095084
356,63.45395717
357,66.41733592
358,79.92378872
359,74.28484165
360,75.92468867
361,85.18981261
362,74.62854318
363,86.05273214
364,88.8271495
365,81.02128049
366,80.94200944
367,86.67364208
368,78.72071976
369,76.87274821
370,83.01939994
371,71.2791726
372,73.46140343
373,74.76527206
374,72.1546148
375,72.09400131
376,77.20978277
377,77.53329707
378,71.15820882
379,84.16771571
380,72.69186126
381,69.60844706
382,66.10638014
383,72.48578218
384,83.71900002
385,82.53495581
386,71.05837151
387,72.55121989
388,78.12768846
389,82.76671374
390,73.86090055
391,77.69942339
392,75.84864327
393,72.24747466
394,63.42240805
395,75.23754781
396,73.48820764
397,76.37998387
398,76.30900027
399,74.35355278
400,72.43589805
401,74.07194952
358,83.96715269
359,90.00021823
360,76.90835146
361,80.06463166
362,72.99728265
363,69.46915798
364,78.42234701
365,77.64728194
366,74.57352374
367,68.98360301
368,71.80811293
369,77.70641753
370,82.61851812
371,73.82497059
372,71.22154055
373,74.53982591
374,76.4758786
375,78.51053515
376,81.38819927
377,72.88697509
378,71.45497092
379,66.0985228
380,69.5952486
381,66.25150972
382,70.51805042
383,76.1324817
384,72.27758104
385,76.24729318
386,69.61174436
387,79.2106135
388,71.33201076
389,76.99663083
390,84.74824086
391,88.51499039
392,92.78052798
393,85.16785625
394,86.74732517
395,88.43946576
396,77.85842456
397,85.07758007
398,77.47221841
399,77.7064623
400,65.69844353
401,68.8701793
402,75.8678033
403,81.41542126
404,79.94043399
405,71.83773257
406,78.71926659
407,75.10822032
408,73.85866884
409,80.4990121
410,77.52973385
411,83.36827641
412,80.44262839
413,85.53915037
414,80.3917314
415,76.04738136
416,87.14461402
417,76.67327821
418,74.945174
419,82.61709126
420,72.44190891
421,80.59630111
422,80.07775987
423,75.96550875
424,75.66906278
425,75.37070651
426,83.62431443
427,81.19670657
428,77.43221607
429,73.16590364
430,74.67272337
431,83.71676171
432,81.23337906
433,75.46142283
434,78.98812943
435,76.38652163
436,76.35153113
437,79.00682209
438,74.10506182
439,78.47729498
440,81.11622468
441,88.30145873
442,77.27041704
443,79.64092961
444,71.52327504
445,68.46882428
446,79.0718498
447,80.93696225
448,73.84098679
449,75.62759966
450,78.3749981
451,77.88621844
452,83.72722231
453,81.06963348
454,77.97628881
455,75.49693306
456,76.51601326
457,82.87879821
458,83.46634116
459,68.7051807
460,73.11662637
461,83.94429047
462,79.04678273
463,75.59374362
464,78.28676677
465,82.52094302
466,80.97872378
467,74.39526954
468,71.09548481
469,76.31410356
470,84.35645415
471,81.64148482
472,81.6646556
473,73.47323048
474,75.40908791
475,70.35065538
476,81.98414519
477,70.93540467
478,67.12309214
479,61.76640467
480,68.12978939
481,72.85386563
482,69.88916981
483,75.52794556
484,64.56486684
485,73.04289339
486,75.0426534
487,82.17714633
488,75.43657539
489,68.08195601
490,75.25196517
491,74.68495084
492,76.34819261
493,80.24713121
494,78.87229025
495,70.42803554
496,71.46359625
461,76.51838051
462,83.36763318
463,74.27693884
464,78.98723079
465,85.44365564
466,93.01536811
467,81.9952875
468,87.85782092
469,83.02626551
470,78.727309
471,72.5408017
472,83.6365935
473,79.01544086
474,78.98847231
475,77.74178184
476,75.658067
477,73.76280114
478,83.34882338
479,76.20641706
480,71.22269495
481,68.64519399
482,70.03618481
483,87.24669099
484,83.40288067
485,78.78110577
486,76.45406966
487,78.04450999
488,73.6323027
489,78.85795935
490,75.05687006
491,69.54601253
492,75.72045492
493,80.6210659
494,73.34218373
495,74.11571373
496,76.77771289
497,80.9911033
498,90.97760572
499,84.36363512
500,81.02436783
501,84.06987203
502,81.47510575
503,76.43957098
504,72.70094899
505,74.31427587
506,80.05381302
507,88.5510699
508,91.31489905
509,92.17178302
510,81.43176625
511,81.06038322
512,84.09013874
513,71.73179598
514,69.82796908
515,80.48568248
516,77.96399023
517,70.67798921
518,78.55961294
519,81.94297757
520,75.98016623
521,69.60563297
522,74.13892247
523,70.79052572
524,74.56923533
525,80.49610906
526,82.31106193
527,72.59661717
528,75.82252216
529,83.15981854
530,78.43404915
531,80.77251926
532,73.41317036
533,76.39976265
534,75.15254074
535,75.73948855
536,77.96984665
537,82.94233329
538,77.32938517
539,77.67994513
540,81.09553835
541,73.62192529
542,83.59828571
543,75.47821115
544,69.07586991
545,67.66059879
546,79.09147316
547,87.64099138
548,86.38479534
549,80.65399895
550,73.21838498
551,75.54201507
552,79.56584661
553,85.04584764
554,83.02545067
555,81.10312853
556,81.44738702
557,76.72212621
558,74.70584851
559,72.0232102
560,77.00220772
561,71.83269577
562,67.66998255
563,74.93722835
564,79.26888705
565,80.70152095
566,75.33016394
567,78.44724982
568,79.03696115
569,69.65022855
570,76.58510322
571,80.25348939
572,77.53755737
573,79.91890596
574,73.68538737
575,75.16454893
576,76.1611835
577,77.20737412
578,81.16841852
579,76.91489315
580,74.6260219
581,85.71818733
582,78.98774379
583,75.57941202
584,70.13518117
585,74.82875861
586,77.57391958
587,69.323659
588,74.53755187
589,76.09727749
590,70.89786402
591,74.27424169
592,67.23964901
593,71.07831897
594,67.45500815
595,71.18552895
596,65.48351531
597,79.12420756
598,78.51840827
599,73.42052646
600,72.99290553
601,74.66859332
602,70.22570011
603,68.75949359
604,72.73524047
605,72.48801742
606,69.69036299
607,74.75388366
608,70.51841193
609,76.24773115
610,73.47481063
611,71.79757046
612,73.0740207
574,96.06523833
575,84.39718393
576,85.48807741
577,82.83163764
578,79.97414337
579,83.61404261
580,87.7522264
581,79.64180287
582,80.16765489
583,95.40312235
584,84.3564834
585,78.43136601
586,84.22737419
587,79.33779926
588,73.66966305
589,81.17899662
590,78.91493593
591,99.58824995
592,95.41345281
593,76.0795045
594,71.93713234
595,76.17291293
596,71.23514324
597,67.81146113
598,71.06724819
599,81.39193889
600,79.74106075
601,75.59474488
602,80.46025693
603,83.09829895
604,76.38312555
605,79.67018391
606,81.81883591
607,85.31517881
608,85.30584446
609,83.19389583
610,69.23411977
611,64.03946326
612,73.0383836
613,73.52885453
614,82.95432467
615,83.18886598
616,82.01466066
617,86.24020298
618,83.87704002
619,75.25915854
620,72.7507348
621,85.59259604
622,83.86967082
623,82.33020022
624,85.16397172
625,80.16687817
626,86.53131788
627,81.00365137
628,86.90730854
629,80.73899924
630,70.97464433
631,75.30244177
632,78.26551733
633,74.07838342
634,82.61710403
635,79.26461787
636,71.7712007
637,71.75110454
638,71.56644125
639,76.55707708
640,79.14888291
641,80.03090509
642,77.82981274
643,83.92485575
644,84.0831546
645,84.97413446
646,81.18271385
647,84.69894181
648,75.25785993
649,82.28513313
650,88.0469716
651,79.98224989
652,80.70689611
653,81.87816016
654,73.07563886
655,80.89507757
656,78.67978648
657,77.01780019
658,77.66882207
659,75.14474431
660,70.66511958
661,71.80203473
662,83.52905161
663,81.82774219
664,90.29553352
665,89.84771597
666,81.67945995
667,82.81192397
668,87.25306985
669,81.61546467
670,78.01742925
671,83.16360696
672,87.53246357
673,80.46904039
674,81.49458996
675,75.07432269
676,77.62781076
677,72.75714221
678,75.07909983
679,70.4369211
680,70.22446619
681,80.31318497
682,81.76164339
683,81.39014834
684,70.98446547
685,74.99142608
686,74.55402313
687,68.27025978
688,78.57692142
689,80.02117706
690,71.52264594
691,73.77612344
692,79.53441367
693,89.0259466
694,76.1341723
695,77.31192058
696,74.76985113
697,75.22670533
698,77.01245721
699,76.92539176
700,81.16937364
701,75.44246109
702,72.4083758
703,75.6150625
704,82.51204128
705,75.66004219
706,77.24489223
707,81.21080406
708,72.14575711
709,71.22436621
710,67.23956211
711,72.32543893
712,73.80930257
713,77.62727906
714,75.78691257
715,75.92156065
716,73.81000802
717,74.45837748
718,71.63572174
719,69.65893879
720,71.13887484
721,68.67247376
722,73.34944938
723,78.69716865
724,77.79733808
725,76.19599169
